iter	Passed	Remaining
843	2728	504
844	2744	503
845	2746	500
846	2749	496
847	2751	493
848	2754	489
849	2757	486
850	2759	483
851	2762	479
852	2765	476
853	2767	473
854	2770	469
855	2773	466
856	2775	463
857	2778	459
858	2780	456
859	2783	453
860	2786	449
861	2789	446
862	2791	443
863	2794	439
864	2796	436
865	2799	433
866	2802	429
867	2804	426
868	2807	423
869	2810	419
870	2812	416
871	2815	413
872	2818	410
873	2821	406
874	2823	403
875	2826	400
876	2829	396
877	2832	393
878	2835	390
879	2838	387
880	2841	383
881	2844	380
882	2846	377
883	2849	373
884	2852	370
885	2854	367
886	2857	364
887	2860	360
888	2862	357
889	2865	354
890	2868	350
891	2870	347
892	2873	344
893	2875	340
894	2878	337
895	2880	334
896	2884	331
897	2886	327
898	2889	324
899	2892	321
900	2894	318
901	2897	314
902	2900	311
903	2902	308
904	2905	304
905	2907	301
906	2910	298
907	2912	295
908	2916	291
909	2918	288
910	2921	285
911	2923	282
912	2926	278
913	2929	275
914	2932	272
915	2934	269
916	2937	265
917	2939	262
918	2942	259
919	2946	256
920	2949	252
921	2951	249
922	2954	246
923	2956	243
924	2959	239
925	2961	236
926	2964	233
927	2967	230
928	2970	226
929	2972	223
930	2975	220
931	2977	217
932	2980	214
933	2983	210
934	2986	207
935	2988	204
936	2991	201
937	2993	197
938	2996	194
939	2999	191
940	3002	188
941	3004	184
942	3007	181
943	3009	178
944	3012	175
945	3015	172
946	3017	168
947	3020	165
948	3022	162
949	3025	159
950	3028	156
951	3030	152
952	3033	149
953	3035	146
954	3038	143
955	3041	139
956	3044	136
957	3046	133
958	3050	130
959	3052	127
960	3055	123
961	3057	120
962	3067	117
963	3069	114
964	3072	111
965	3075	108
966	3078	105
967	3080	101
968	3083	98
969	3086	95
970	3088	92
971	3091	89
972	3094	85
973	3097	82
974	3099	79
975	3102	76
976	3105	73
977	3107	69
978	3110	66
979	3113	63
980	3115	60
981	3118	57
982	3121	53
983	3124	50
984	3126	47
985	3129	44
986	3132	41
987	3134	38
988	3137	34
989	3140	31
990	3142	28
991	3145	25
992	3147	22
993	3150	19
994	3153	15
995	3155	12
996	3158	9
997	3161	6
998	3164	3
999	3167	0
